TimeElapsed(s),GazeX,GazeY,PlayerScore
13.28152,355.9392,-1521.457,1
13.31753,355.9392,-1521.457,1
13.34916,355.9392,-1521.457,1
13.38517,355.9392,-1521.457,1
13.41805,355.9392,-1521.457,1
13.45187,355.9392,-1521.457,1
13.4834,355.9392,-1521.457,1
13.51642,460.0261,-1547.521,1
13.54763,981.1315,-1219.981,1
13.58031,981.1315,-1219.981,1
13.61648,981.1315,-1219.981,1
13.65084,981.1315,-1219.981,1
13.68175,1715.747,155.1813,1
13.71655,1744.2,104.7251,1
13.74786,1886.707,44.92619,1
13.78246,1800.241,103.2293,1
13.81575,1739.961,215.1145,1
13.84965,1693.862,243.1507,1
13.88253,1480.445,128.9868,1
13.91502,1407.94,23.25894,1
13.94683,1566.719,20.17038,1
13.98457,1642.853,62.9899,1
14.01449,1653.13,101.6975,1
14.04737,1678.489,109.498,1
14.08252,1662.41,125.0951,1
14.11905,1396.47,195.7438,1
14.15133,982.8749,302.3304,1
14.182,800.8271,327.211,1
14.21414,812.907,349.1971,1
14.2511,841.9841,393.2729,1
14.2811,807.7336,378.0279,1
14.31676,827.9236,390.1924,1
14.34831,865.3706,403.1386,1
14.38262,877.5893,410.1332,1
14.41474,884.7992,430.5434,1
14.44852,817.3958,454.9517,1
14.48306,776.1111,518.4451,1
14.51519,518.1815,535.2137,1
14.54885,269.8404,541.2899,1
14.58006,265.7453,543.4644,1
14.61408,343.2618,566.9509,1
14.649,405.6006,623.6556,1
14.68473,413.4355,660.8557,1
14.71526,422.8317,677.088,1
14.75166,326.0377,675.7046,1
14.78437,296.3644,588.0708,1
14.81456,328.0853,564.6904,1
14.84923,297.5231,556.2265,1
14.8817,263.4786,555.9785,1
14.91423,266.9496,568.082,1
14.9484,319.7623,595.7027,1
14.98121,309.9886,615.6916,1
15.01398,235.0272,638.9036,1
15.05068,334.2105,654.986,1
15.08294,544.558,556.5181,1
15.11514,544.558,556.5181,1
15.15229,544.558,556.5181,1
15.18228,544.558,556.5181,1
15.21821,544.558,556.5181,1
15.24889,129.3814,837.3504,1
15.28227,5.987629,864.1905,1
15.31793,143.3331,876.7668,1
15.34799,210.8793,874.8383,1
15.38379,190.0806,860.1313,1
15.41516,165.5482,802.8602,1
15.45147,188.447,691.405,1
15.48142,188.3964,641.4741,1
15.51665,158.3162,607.1696,1
15.54969,178.812,607.5453,1
15.58214,210.27,600.2274,1
15.61392,181.1671,581.8503,1
15.6498,192.2542,570.4835,1
15.68026,199.0176,557.0082,1
15.71746,196.6285,569.9851,1
15.74707,177.5633,584.0667,1
15.78397,139.2114,582.4038,1
15.81433,144.2046,542.6425,1
15.85212,141.0011,499.5279,1
15.88217,145.2723,483.8971,1
15.91417,142.6043,456.0076,1
15.95036,129.7339,424.5113,1
15.98204,115.964,400.4563,1
16.01568,145.8391,376.5147,1
16.05007,171.8931,362.7059,1
16.085,160.9175,367.6059,1
16.11696,149.2845,391.1392,1
16.14862,156.4705,409.5752,1
16.18471,-76.12018,210.8134,1
16.21682,-578.8099,-181.436,1
16.24803,-837.0771,-388.8579,1
16.28391,-835.8715,-386.2253,1
16.31496,-826.5067,-371.437,1
16.34783,-828.8274,-343.5974,1
16.38091,-845.3688,-338.3872,1
16.41519,-808.7143,-404.6662,1
16.44669,-803.653,-404.2975,1
16.48327,-811.9806,-396.82,1
16.51806,-830.4203,-386.0255,1
16.54769,-669.9505,-183.5966,1
16.58601,51.84103,308.9983,1
16.63086,610.3708,632.9857,1
16.65365,610.3708,632.9857,1
16.68553,584.1953,650.242,1
16.7185,576.5546,653.1035,1
16.75357,592.8524,642.8116,1
16.78443,595.4814,639.3438,1
16.81564,553.501,634.3566,1
16.84766,432.583,625.0278,1
16.88451,323.9185,620.6389,1
16.91491,301.1548,618.8984,1
16.95014,289.827,615.9252,1
16.98472,282.0919,617.6278,1
17.01371,261.6666,618.327,1
17.05218,245.3823,621.767,1
17.08387,235.5124,628.6212,1
17.11435,226.3033,641.4084,1
17.1496,216.6932,642.3494,1
17.18305,214.5833,637.3702,1
17.21827,351.8342,763.3021,1
17.24695,826.3887,995.3589,1
17.28016,1177.892,1091.029,1
17.31405,1184.115,1082.488,1
17.3518,1214.365,1045.705,1
17.3847,1219.918,1053.914,1
17.41416,1216.133,1053.478,1
17.44877,1211.357,1057.583,1
17.48046,1211.837,1065.969,1
17.52324,1206.575,1071.442,1
17.5531,1223.249,1084.596,1
17.58533,1249.939,1093.113,1
17.6361,1253.677,1098.199,1
17.65163,1253.677,1098.199,1
17.68457,1246.975,1106.135,1
17.7177,1254.827,1116.922,1
17.75297,1262.785,1120.078,1
17.78678,1270.594,1126.577,1
17.81546,1280.747,1133.251,1
17.84678,1273.976,1139.456,1
17.88791,1269.065,1136.261,1
17.91939,1278.014,1130.307,1
17.94911,1271.338,1130.851,1
17.9802,1254.005,1130.285,1
18.01351,1253.982,1135.642,1
18.04952,1254.344,1144.502,1
18.08109,1262.633,1140.054,1
18.11833,1265.463,1132.536,1
18.1518,1262.121,1129.215,1
18.18299,1266.874,1130.35,1
18.21936,1266.834,1123.62,1
18.24712,1266.593,1119.294,1
18.28482,1269.983,1116.063,1
18.31727,1259.938,1113.991,1
18.34897,1258.183,1104.444,1
18.38242,1268.114,1105.205,1
18.41497,1258.862,1101.469,1
18.44974,1246.964,1101.325,1
18.48596,1245.908,1105.767,1
18.5169,1241.96,1108.815,1
18.54737,1238.076,1104.499,1
18.58322,1242.699,1102.961,1
18.61853,1238.877,1105.709,1
